889 2914
25 20 0.09090909090909091
20 25 0.08333333333333333
33 20 0.09090909090909091
20 33 0.2
66 20 0.09090909090909091
20 66 0.5
79 20 0.09090909090909091
20 79 1.0
33 21 0.2
21 33 0.2
37 21 0.2
21 37 0.3333333333333333
273 21 0.2
21 273 0.010869565217391304
36 22 0.06666666666666667
22 36 0.5
40 22 0.06666666666666667
22 40 0.5
67 22 0.06666666666666667
22 67 0.3333333333333333
70 22 0.06666666666666667
22 70 0.16666666666666666
88 22 0.06666666666666667
22 88 0.0625
98 22 0.06666666666666667
22 98 0.058823529411764705
104 22 0.06666666666666667
22 104 0.09090909090909091
123 22 0.06666666666666667
22 123 0.05
158 22 0.06666666666666667
22 158 0.125
207 22 0.06666666666666667
22 207 0.14285714285714285
306 22 0.06666666666666667
22 306 0.1111111111111111
408 22 0.06666666666666667
22 408 0.05555555555555555
536 22 0.06666666666666667
22 536 0.016666666666666666
555 22 0.06666666666666667
22 555 0.14285714285714285
617 22 0.06666666666666667
22 617 0.03125
33 23 0.2
23 33 0.2
37 23 0.2
23 37 0.3333333333333333
32 24 0.25
24 32 0.25
45 24 0.25
24 45 0.2
53 25 0.08333333333333333
25 53 0.1
55 25 0.08333333333333333
25 55 0.09090909090909091
75 25 0.08333333333333333
25 75 0.3333333333333333
88 25 0.08333333333333333
25 88 0.0625
90 25 0.08333333333333333
25 90 0.14285714285714285
100 25 0.08333333333333333
25 100 0.5
112 25 0.08333333333333333
25 112 0.5
124 25 0.08333333333333333
25 124 0.2
146 25 0.08333333333333333
25 146 0.5
150 25 0.08333333333333333
25 150 1.0
151 25 0.08333333333333333
25 151 0.3333333333333333
31 26 0.25
26 31 0.5
52 26 0.25
26 52 1.0
50 29 0.5
29 50 0.1
64 29 0.5
29 64 0.5
87 31 0.5
31 87 0.5
45 32 0.25
32 45 0.2
43 35 0.125
35 43 1.0
98 35 0.125
35 98 0.058823529411764705
106 35 0.125
35 106 0.25
148 35 0.125
35 148 0.09090909090909091
195 35 0.125
35 195 0.16666666666666666
212 35 0.125
35 212 0.05263157894736842
257 35 0.125
35 257 0.09090909090909091
273 35 0.125
35 273 0.010869565217391304
199 38 1.0
38 199 0.038461538461538464
50 39 0.5
39 50 0.1
50 42 0.5
42 50 0.1
50 45 0.2
45 50 0.1
69 45 0.2
45 69 0.5
50 47 0.125
47 50 0.1
54 47 0.125
47 54 0.3333333333333333
60 47 0.125
47 60 0.2
67 47 0.125
47 67 0.3333333333333333
82 47 0.125
47 82 0.5
91 47 0.125
47 91 0.25
97 47 0.125
47 97 1.0
66 49 0.125
49 66 0.5
88 49 0.125
49 88 0.0625
90 49 0.125
49 90 0.14285714285714285
121 49 0.125
49 121 0.07692307692307693
161 49 0.125
49 161 0.16666666666666666
190 49 0.125
49 190 0.25
193 49 0.125
49 193 0.08333333333333333
76 50 0.1
50 76 0.5
82 50 0.1
50 82 0.5
86 50 0.1
50 86 1.0
87 50 0.1
50 87 0.5
202 51 0.07692307692307693
51 202 0.25
207 51 0.07692307692307693
51 207 0.14285714285714285
212 51 0.07692307692307693
51 212 0.05263157894736842
214 51 0.07692307692307693
51 214 0.14285714285714285
230 51 0.07692307692307693
51 230 0.030303030303030304
231 51 0.07692307692307693
51 231 0.14285714285714285
253 51 0.07692307692307693
51 253 1.0
311 51 0.07692307692307693
51 311 0.125
342 51 0.07692307692307693
51 342 0.25
415 51 0.07692307692307693
51 415 0.0625
420 51 0.07692307692307693
51 420 0.25
482 51 0.07692307692307693
51 482 0.029411764705882353
496 51 0.07692307692307693
51 496 0.07142857142857142
59 53 0.1
53 59 0.0625
105 53 0.1
53 105 0.1111111111111111
114 53 0.1
53 114 0.1111111111111111
117 53 0.1
53 117 0.5
123 53 0.1
53 123 0.05
125 53 0.1
53 125 0.16666666666666666
129 53 0.1
53 129 0.5
166 53 0.1
53 166 0.07692307692307693
167 53 0.1
53 167 0.5
60 54 0.3333333333333333
54 60 0.2
69 54 0.3333333333333333
54 69 0.5
59 55 0.09090909090909091
55 59 0.0625
61 55 0.09090909090909091
55 61 0.2
88 55 0.09090909090909091
55 88 0.0625
105 55 0.09090909090909091
55 105 0.1111111111111111
135 55 0.09090909090909091
55 135 0.3333333333333333
137 55 0.09090909090909091
55 137 0.3333333333333333
140 55 0.09090909090909091
55 140 0.3333333333333333
141 55 0.09090909090909091
55 141 0.25
74 56 0.2
56 74 0.125
91 56 0.2
56 91 0.25
100 56 0.2
56 100 0.5
101 56 0.2
56 101 1.0
59 57 0.045454545454545456
57 59 0.0625
61 57 0.045454545454545456
57 61 0.2
93 57 0.045454545454545456
57 93 0.25
94 57 0.045454545454545456
57 94 1.0
98 57 0.045454545454545456
57 98 0.058823529411764705
104 57 0.045454545454545456
57 104 0.09090909090909091
108 57 0.045454545454545456
57 108 0.08333333333333333
114 57 0.045454545454545456
57 114 0.1111111111111111
121 57 0.045454545454545456
57 121 0.07692307692307693
122 57 0.045454545454545456
57 122 0.25
123 57 0.045454545454545456
57 123 0.05
125 57 0.045454545454545456
57 125 0.16666666666666666
143 57 0.045454545454545456
57 143 0.1
156 57 0.045454545454545456
57 156 0.1
158 57 0.045454545454545456
57 158 0.125
160 57 0.045454545454545456
57 160 0.25
163 57 0.045454545454545456
57 163 0.1
170 57 0.045454545454545456
57 170 0.015151515151515152
171 57 0.045454545454545456
57 171 0.16666666666666666
176 57 0.045454545454545456
57 176 0.5
179 57 0.045454545454545456
57 179 0.25
181 57 0.045454545454545456
57 181 0.5
95 58 0.16666666666666666
58 95 0.25
104 58 0.16666666666666666
58 104 0.09090909090909091
105 58 0.16666666666666666
58 105 0.1111111111111111
125 58 0.16666666666666666
58 125 0.16666666666666666
161 58 0.16666666666666666
58 161 0.16666666666666666
63 59 0.0625
59 63 0.14285714285714285
74 59 0.0625
59 74 0.125
93 59 0.0625
59 93 0.25
105 59 0.0625
59 105 0.1111111111111111
106 59 0.0625
59 106 0.25
114 59 0.0625
59 114 0.1111111111111111
123 59 0.0625
59 123 0.05
125 59 0.0625
59 125 0.16666666666666666
138 59 0.0625
59 138 0.5
145 59 0.0625
59 145 1.0
163 59 0.0625
59 163 0.1
170 59 0.0625
59 170 0.015151515151515152
91 60 0.2
60 91 0.25
121 61 0.2
61 121 0.07692307692307693
151 61 0.2
61 151 0.3333333333333333
163 61 0.2
61 163 0.1
114 62 1.0
62 114 0.1111111111111111
78 63 0.14285714285714285
63 78 0.16666666666666666
135 63 0.14285714285714285
63 135 0.3333333333333333
151 63 0.14285714285714285
63 151 0.3333333333333333
156 63 0.14285714285714285
63 156 0.1
211 63 0.14285714285714285
63 211 0.3333333333333333
204 65 0.5
65 204 0.01818181818181818
396 65 0.5
65 396 0.07142857142857142
83 67 0.3333333333333333
67 83 1.0
204 68 0.3333333333333333
68 204 0.01818181818181818
266 68 0.3333333333333333
68 266 0.05263157894736842
301 68 0.3333333333333333
68 301 0.16666666666666666
99 70 0.16666666666666666
70 99 1.0
110 70 0.16666666666666666
70 110 0.1111111111111111
202 70 0.16666666666666666
70 202 0.25
216 70 0.16666666666666666
70 216 0.07142857142857142
258 70 0.16666666666666666
70 258 0.09090909090909091
164 72 0.3333333333333333
72 164 0.1111111111111111
230 72 0.3333333333333333
72 230 0.030303030303030304
496 72 0.3333333333333333
72 496 0.07142857142857142
98 73 0.3333333333333333
73 98 0.058823529411764705
308 73 0.3333333333333333
73 308 0.16666666666666666
431 73 0.3333333333333333
73 431 0.00980392156862745
121 74 0.125
74 121 0.07692307692307693
126 74 0.125
74 126 0.5
130 74 0.125
74 130 0.08333333333333333
137 74 0.125
74 137 0.3333333333333333
172 74 0.125
74 172 0.5
187 74 0.125
74 187 0.25
95 75 0.3333333333333333
75 95 0.25
112 75 0.3333333333333333
75 112 0.5
81 76 0.5
76 81 0.5
560 77 1.0
77 560 0.07142857142857142
96 78 0.16666666666666666
78 96 0.25
166 78 0.16666666666666666
78 166 0.07692307692307693
229 78 0.16666666666666666
78 229 0.3333333333333333
230 78 0.16666666666666666
78 230 0.030303030303030304
81 80 1.0
80 81 0.5
90 84 0.5
84 90 0.14285714285714285
196 84 0.5
84 196 0.16666666666666666
152 85 1.0
85 152 0.1111111111111111
89 88 0.0625
88 89 1.0
90 88 0.0625
88 90 0.14285714285714285
96 88 0.0625
88 96 0.25
107 88 0.0625
88 107 1.0
111 88 0.0625
88 111 0.3333333333333333
115 88 0.0625
88 115 0.25
116 88 0.0625
88 116 1.0
118 88 0.0625
88 118 0.07692307692307693
121 88 0.0625
88 121 0.07692307692307693
108 90 0.14285714285714285
90 108 0.08333333333333333
162 90 0.14285714285714285
90 162 0.16666666666666666
170 90 0.14285714285714285
90 170 0.015151515151515152
415 91 0.25
91 415 0.0625
98 92 1.0
92 98 0.058823529411764705
123 93 0.25
93 123 0.05
142 93 0.25
93 142 1.0
118 95 0.25
95 118 0.07692307692307693
230 96 0.25
96 230 0.030303030303030304
104 98 0.058823529411764705
98 104 0.09090909090909091
105 98 0.058823529411764705
98 105 0.1111111111111111
108 98 0.058823529411764705
98 108 0.08333333333333333
109 98 0.058823529411764705
98 109 0.08333333333333333
118 98 0.058823529411764705
98 118 0.07692307692307693
123 98 0.058823529411764705
98 123 0.05
137 98 0.058823529411764705
98 137 0.3333333333333333
138 98 0.058823529411764705
98 138 0.5
163 98 0.058823529411764705
98 163 0.1
170 98 0.058823529411764705
98 170 0.015151515151515152
195 98 0.058823529411764705
98 195 0.16666666666666666
109 102 0.5
102 109 0.08333333333333333
160 102 0.5
102 160 0.25
195 103 1.0
103 195 0.16666666666666666
114 104 0.09090909090909091
104 114 0.1111111111111111
123 104 0.09090909090909091
104 123 0.05
156 104 0.09090909090909091
104 156 0.1
162 104 0.09090909090909091
104 162 0.16666666666666666
167 104 0.09090909090909091
104 167 0.5
170 104 0.09090909090909091
104 170 0.015151515151515152
171 104 0.09090909090909091
104 171 0.16666666666666666
118 105 0.1111111111111111
105 118 0.07692307692307693
123 105 0.1111111111111111
105 123 0.05
128 105 0.1111111111111111
105 128 0.1
169 105 0.1111111111111111
105 169 0.5
178 106 0.25
106 178 0.16666666666666666
189 106 0.25
106 189 0.1111111111111111
109 108 0.08333333333333333
108 109 0.08333333333333333
114 108 0.08333333333333333
108 114 0.1111111111111111
121 108 0.08333333333333333
108 121 0.07692307692307693
122 108 0.08333333333333333
108 122 0.25
141 108 0.08333333333333333
108 141 0.25
158 108 0.08333333333333333
108 158 0.125
171 108 0.08333333333333333
108 171 0.16666666666666666
183 108 0.08333333333333333
108 183 0.5
189 108 0.08333333333333333
108 189 0.1111111111111111
121 109 0.08333333333333333
109 121 0.07692307692307693
122 109 0.08333333333333333
109 122 0.25
123 109 0.08333333333333333
109 123 0.05
183 109 0.08333333333333333
109 183 0.5
189 109 0.08333333333333333
109 189 0.1111111111111111
212 109 0.08333333333333333
109 212 0.05263157894736842
214 109 0.08333333333333333
109 214 0.14285714285714285
224 109 0.08333333333333333
109 224 0.058823529411764705
230 109 0.08333333333333333
109 230 0.030303030303030304
121 110 0.1111111111111111
110 121 0.07692307692307693
123 110 0.1111111111111111
110 123 0.05
130 110 0.1111111111111111
110 130 0.08333333333333333
170 110 0.1111111111111111
110 170 0.015151515151515152
223 110 0.1111111111111111
110 223 0.07692307692307693
306 110 0.1111111111111111
110 306 0.1111111111111111
328 110 0.1111111111111111
110 328 0.1111111111111111
115 111 0.3333333333333333
111 115 0.25
135 111 0.3333333333333333
111 135 0.3333333333333333
326 113 0.058823529411764705
113 326 0.25
413 113 0.058823529411764705
113 413 0.125
431 113 0.058823529411764705
113 431 0.00980392156862745
479 113 0.058823529411764705
113 479 0.25
515 113 0.058823529411764705
113 515 0.125
546 113 0.058823529411764705
113 546 0.07142857142857142
551 113 0.058823529411764705
113 551 0.1111111111111111
562 113 0.058823529411764705
113 562 0.03225806451612903
570 113 0.058823529411764705
113 570 0.1
634 113 0.058823529411764705
113 634 0.3333333333333333
637 113 0.058823529411764705
113 637 0.1111111111111111
666 113 0.058823529411764705
113 666 0.05
690 113 0.058823529411764705
113 690 0.041666666666666664
707 113 0.058823529411764705
113 707 0.05
709 113 0.058823529411764705
113 709 0.045454545454545456
715 113 0.058823529411764705
113 715 0.2
738 113 0.058823529411764705
113 738 0.05263157894736842
121 114 0.1111111111111111
114 121 0.07692307692307693
171 114 0.1111111111111111
114 171 0.16666666666666666
176 114 0.1111111111111111
114 176 0.5
123 115 0.25
115 123 0.05
128 115 0.25
115 128 0.1
123 118 0.07692307692307693
118 123 0.05
170 118 0.07692307692307693
118 170 0.015151515151515152
178 118 0.07692307692307693
118 178 0.16666666666666666
212 118 0.07692307692307693
118 212 0.05263157894736842
298 118 0.07692307692307693
118 298 0.25
447 118 0.07692307692307693
118 447 0.03125
471 118 0.07692307692307693
118 471 0.05263157894736842
606 118 0.07692307692307693
118 606 0.05555555555555555
223 119 0.5
119 223 0.07692307692307693
238 119 0.5
119 238 0.5
159 120 0.16666666666666666
120 159 1.0
259 120 0.16666666666666666
120 259 0.045454545454545456
311 120 0.16666666666666666
120 311 0.125
317 120 0.16666666666666666
120 317 0.05555555555555555
350 120 0.16666666666666666
120 350 0.16666666666666666
364 120 0.16666666666666666
120 364 0.07142857142857142
126 121 0.07692307692307693
121 126 0.5
184 121 0.07692307692307693
121 184 1.0
185 121 0.07692307692307693
121 185 0.5
186 121 0.07692307692307693
121 186 0.3333333333333333
123 122 0.25
122 123 0.05
124 123 0.05
123 124 0.2
125 123 0.05
123 125 0.16666666666666666
163 123 0.05
123 163 0.1
169 123 0.05
123 169 0.5
171 123 0.05
123 171 0.16666666666666666
172 123 0.05
123 172 0.5
174 123 0.05
123 174 0.3333333333333333
125 124 0.2
124 125 0.16666666666666666
146 124 0.2
124 146 0.5
168 124 0.2
124 168 0.5
130 128 0.1
128 130 0.08333333333333333
143 128 0.1
128 143 0.1
162 128 0.1
128 162 0.16666666666666666
170 128 0.1
128 170 0.015151515151515152
171 128 0.1
128 171 0.16666666666666666
191 128 0.1
128 191 0.125
195 128 0.1
128 195 0.16666666666666666
205 128 0.1
128 205 0.05263157894736842
178 129 0.5
129 178 0.16666666666666666
131 130 0.08333333333333333
130 131 1.0
170 130 0.08333333333333333
130 170 0.015151515151515152
197 130 0.08333333333333333
130 197 0.14285714285714285
224 130 0.08333333333333333
130 224 0.058823529411764705
229 130 0.08333333333333333
130 229 0.3333333333333333
233 130 0.08333333333333333
130 233 0.05
237 130 0.08333333333333333
130 237 0.045454545454545456
277 130 0.08333333333333333
130 277 0.3333333333333333
278 130 0.08333333333333333
130 278 0.2
204 132 0.041666666666666664
132 204 0.01818181818181818
273 132 0.041666666666666664
132 273 0.010869565217391304
361 132 0.041666666666666664
132 361 0.09090909090909091
385 132 0.041666666666666664
132 385 0.1111111111111111
392 132 0.041666666666666664
132 392 0.07142857142857142
399 132 0.041666666666666664
132 399 0.017857142857142856
410 132 0.041666666666666664
132 410 0.047619047619047616
416 132 0.041666666666666664
132 416 0.02040816326530612
442 132 0.041666666666666664
132 442 0.1
448 132 0.041666666666666664
132 448 0.027777777777777776
453 132 0.041666666666666664
132 453 0.038461538461538464
455 132 0.041666666666666664
132 455 0.0625
456 132 0.041666666666666664
132 456 0.07142857142857142
461 132 0.041666666666666664
132 461 0.1
482 132 0.041666666666666664
132 482 0.029411764705882353
488 132 0.041666666666666664
132 488 0.14285714285714285
504 132 0.041666666666666664
132 504 0.03225806451612903
506 132 0.041666666666666664
132 506 0.05555555555555555
523 132 0.041666666666666664
132 523 0.07142857142857142
536 132 0.041666666666666664
132 536 0.016666666666666666
560 132 0.041666666666666664
132 560 0.07142857142857142
562 132 0.041666666666666664
132 562 0.03225806451612903
608 132 0.041666666666666664
132 608 0.2
617 132 0.041666666666666664
132 617 0.03125
143 133 0.125
133 143 0.1
170 133 0.125
133 170 0.015151515151515152
187 133 0.125
133 187 0.25
205 133 0.125
133 205 0.05263157894736842
224 133 0.125
133 224 0.058823529411764705
239 133 0.125
133 239 0.05555555555555555
240 133 0.125
133 240 0.2
259 133 0.125
133 259 0.045454545454545456
170 134 0.2
134 170 0.015151515151515152
247 134 0.2
134 247 0.0625
289 134 0.2
134 289 0.07692307692307693
331 134 0.2
134 331 0.5
351 134 0.2
134 351 0.06666666666666667
690 136 0.2
136 690 0.041666666666666664
822 136 0.2
136 822 0.07692307692307693
832 136 0.2
136 832 0.125
834 136 0.2
136 834 0.25
855 136 0.2
136 855 0.2
231 139 0.1
139 231 0.14285714285714285
239 139 0.1
139 239 0.05555555555555555
324 139 0.1
139 324 0.14285714285714285
431 139 0.1
139 431 0.00980392156862745
437 139 0.1
139 437 0.08333333333333333
447 139 0.1
139 447 0.03125
453 139 0.1
139 453 0.038461538461538464
455 139 0.1
139 455 0.0625
456 139 0.1
139 456 0.07142857142857142
458 139 0.1
139 458 0.047619047619047616
230 140 0.3333333333333333
140 230 0.030303030303030304
328 140 0.3333333333333333
140 328 0.1111111111111111
156 141 0.25
141 156 0.1
220 141 0.25
141 220 0.5
163 143 0.1
143 163 0.1
187 143 0.1
143 187 0.25
205 143 0.1
143 205 0.05263157894736842
207 143 0.1
143 207 0.14285714285714285
217 143 0.1
143 217 0.5
240 143 0.1
143 240 0.2
254 143 0.1
143 254 0.14285714285714285
356 144 1.0
144 356 0.0625
557 147 0.5
147 557 0.0625
717 147 0.5
147 717 0.14285714285714285
163 148 0.09090909090909091
148 163 0.1
199 148 0.09090909090909091
148 199 0.038461538461538464
239 148 0.09090909090909091
148 239 0.05555555555555555
254 148 0.09090909090909091
148 254 0.14285714285714285
257 148 0.09090909090909091
148 257 0.09090909090909091
267 148 0.09090909090909091
148 267 0.16666666666666666
273 148 0.09090909090909091
148 273 0.010869565217391304
305 148 0.09090909090909091
148 305 1.0
309 148 0.09090909090909091
148 309 0.3333333333333333
314 148 0.09090909090909091
148 314 0.125
328 149 1.0
149 328 0.1111111111111111
156 152 0.1111111111111111
152 156 0.1
157 152 0.1111111111111111
152 157 0.5
189 152 0.1111111111111111
152 189 0.1111111111111111
193 152 0.1111111111111111
152 193 0.08333333333333333
205 152 0.1111111111111111
152 205 0.05263157894736842
214 152 0.1111111111111111
152 214 0.14285714285714285
215 152 0.1111111111111111
152 215 0.2
216 152 0.1111111111111111
152 216 0.07142857142857142
216 153 0.5
153 216 0.07142857142857142
248 153 0.5
153 248 0.25
225 154 0.3333333333333333
154 225 0.16666666666666666
227 154 0.3333333333333333
154 227 0.25
306 154 0.3333333333333333
154 306 0.1111111111111111
188 155 0.2
155 188 1.0
199 155 0.2
155 199 0.038461538461538464
225 155 0.2
155 225 0.16666666666666666
273 155 0.2
155 273 0.010869565217391304
337 155 0.2
155 337 0.0625
163 156 0.1
156 163 0.1
189 156 0.1
156 189 0.1111111111111111
196 156 0.1
156 196 0.16666666666666666
208 156 0.1
156 208 1.0
210 156 0.1
156 210 0.16666666666666666
215 157 0.5
157 215 0.2
170 158 0.125
158 170 0.015151515151515152
189 158 0.125
158 189 0.1111111111111111
204 158 0.125
158 204 0.01818181818181818
273 158 0.125
158 273 0.010869565217391304
322 158 0.125
158 322 0.05263157894736842
166 160 0.25
160 166 0.07692307692307693
170 160 0.25
160 170 0.015151515151515152
166 161 0.16666666666666666
161 166 0.07692307692307693
230 161 0.16666666666666666
161 230 0.030303030303030304
327 161 0.16666666666666666
161 327 0.2
328 161 0.16666666666666666
161 328 0.1111111111111111
173 162 0.16666666666666666
162 173 0.2
195 162 0.16666666666666666
162 195 0.16666666666666666
234 162 0.16666666666666666
162 234 0.5
205 163 0.1
163 205 0.05263157894736842
230 164 0.1111111111111111
164 230 0.030303030303030304
374 164 0.1111111111111111
164 374 0.5
380 164 0.1111111111111111
164 380 0.02857142857142857
381 164 0.1111111111111111
164 381 0.09090909090909091
399 164 0.1111111111111111
164 399 0.017857142857142856
466 164 0.1111111111111111
164 466 0.05555555555555555
496 164 0.1111111111111111
164 496 0.07142857142857142
170 165 0.3333333333333333
165 170 0.015151515151515152
337 165 0.3333333333333333
165 337 0.0625
351 165 0.3333333333333333
165 351 0.06666666666666667
170 166 0.07692307692307693
166 170 0.015151515151515152
175 166 0.07692307692307693
166 175 0.25
178 166 0.07692307692307693
166 178 0.16666666666666666
194 166 0.07692307692307693
166 194 1.0
215 166 0.07692307692307693
166 215 0.2
224 166 0.07692307692307693
166 224 0.058823529411764705
230 166 0.07692307692307693
166 230 0.030303030303030304
248 166 0.07692307692307693
166 248 0.25
217 168 0.5
168 217 0.5
191 170 0.015151515151515152
170 191 0.125
192 170 0.015151515151515152
170 192 1.0
193 170 0.015151515151515152
170 193 0.08333333333333333
195 170 0.015151515151515152
170 195 0.16666666666666666
199 170 0.015151515151515152
170 199 0.038461538461538464
202 170 0.015151515151515152
170 202 0.25
203 170 0.015151515151515152
170 203 0.5
204 170 0.015151515151515152
170 204 0.01818181818181818
205 170 0.015151515151515152
170 205 0.05263157894736842
209 170 0.015151515151515152
170 209 0.2
212 170 0.015151515151515152
170 212 0.05263157894736842
214 170 0.015151515151515152
170 214 0.14285714285714285
216 170 0.015151515151515152
170 216 0.07142857142857142
226 170 0.015151515151515152
170 226 0.25
233 170 0.015151515151515152
170 233 0.05
244 170 0.015151515151515152
170 244 0.5
247 170 0.015151515151515152
170 247 0.0625
258 170 0.015151515151515152
170 258 0.09090909090909091
259 170 0.015151515151515152
170 259 0.045454545454545456
260 170 0.015151515151515152
170 260 0.047619047619047616
263 170 0.015151515151515152
170 263 0.16666666666666666
264 170 0.015151515151515152
170 264 0.5
271 170 0.015151515151515152
170 271 0.14285714285714285
272 170 0.015151515151515152
170 272 0.3333333333333333
273 170 0.015151515151515152
170 273 0.010869565217391304
275 170 0.015151515151515152
170 275 0.125
277 170 0.015151515151515152
170 277 0.3333333333333333
278 170 0.015151515151515152
170 278 0.2
280 170 0.015151515151515152
170 280 0.125
285 170 0.015151515151515152
170 285 0.045454545454545456
289 170 0.015151515151515152
170 289 0.07692307692307693
298 170 0.015151515151515152
170 298 0.25
299 170 0.015151515151515152
170 299 0.0625
303 170 0.015151515151515152
170 303 0.25
306 170 0.015151515151515152
170 306 0.1111111111111111
308 170 0.015151515151515152
170 308 0.16666666666666666
317 170 0.015151515151515152
170 317 0.05555555555555555
322 170 0.015151515151515152
170 322 0.05263157894736842
324 170 0.015151515151515152
170 324 0.14285714285714285
330 170 0.015151515151515152
170 330 0.3333333333333333
334 170 0.015151515151515152
170 334 0.25
335 170 0.015151515151515152
170 335 0.25
341 170 0.015151515151515152
170 341 0.2
349 170 0.015151515151515152
170 349 0.5
356 170 0.015151515151515152
170 356 0.0625
360 170 0.015151515151515152
170 360 1.0
361 170 0.015151515151515152
170 361 0.09090909090909091
363 170 0.015151515151515152
170 363 0.5
364 170 0.015151515151515152
170 364 0.07142857142857142
365 170 0.015151515151515152
170 365 0.5
367 170 0.015151515151515152
170 367 0.3333333333333333
247 173 0.2
173 247 0.0625
263 173 0.2
173 263 0.16666666666666666
267 173 0.2
173 267 0.16666666666666666
318 173 0.2
173 318 0.3333333333333333
178 174 0.3333333333333333
174 178 0.16666666666666666
198 174 0.3333333333333333
174 198 1.0
200 175 0.25
175 200 1.0
205 175 0.25
175 205 0.05263157894736842
240 175 0.25
175 240 0.2
389 177 1.0
177 389 0.16666666666666666
230 178 0.16666666666666666
178 230 0.030303030303030304
273 179 0.25
179 273 0.010869565217391304
289 179 0.25
179 289 0.07692307692307693
334 179 0.25
179 334 0.25
237 180 0.3333333333333333
180 237 0.045454545454545456
264 180 0.3333333333333333
180 264 0.5
265 180 0.3333333333333333
180 265 1.0
256 181 0.5
181 256 0.14285714285714285
356 182 1.0
182 356 0.0625
186 185 0.5
185 186 0.3333333333333333
252 186 0.3333333333333333
186 252 1.0
224 187 0.25
187 224 0.058823529411764705
207 189 0.1111111111111111
189 207 0.14285714285714285
214 189 0.1111111111111111
189 214 0.14285714285714285
221 189 0.1111111111111111
189 221 0.3333333333333333
193 190 0.25
190 193 0.08333333333333333
236 190 0.25
190 236 0.2
218 191 0.125
191 218 0.25
266 191 0.125
191 266 0.05263157894736842
273 191 0.125
191 273 0.010869565217391304
322 191 0.125
